hometown_city,hometown_city_clean,hometown_state_clean,total
Newark,Newark,OH,1
Newark,Newark,TX,1
Newberry,Newberry,SC,1
Newburgh,Newburgh,NY,1
Newbury,Newbury,MA,1
Newbury Park,Newbury Park,CA,3
Newcastle,Newcastle,WA,1
Newland,Newland,NC,1
Newnan,Newnan,GA,4
Newport,Newport,NC,1
Newport Beach,Newport Beach,CA,5
Newton,Newton,MA,1
Newton,Newton,NC,1
Newton,Newton,PA,1
Newton,Newton,TX,2
Niagara Falls,Niagara Falls,NY,1
Niceville,Niceville,FL,3
Nicholasville,Nicholasville,KY,1
Nicholls,Nicholls,GA,1
Niles,Niles,MI,1
Noblesville,Noblesville,IN,3
Nokesville,Nokesville,VA,1
Nokomis,Nokomis,FL,1
Nolensville,Nolensville,TN,2
Norco,Norco,CA,4
Norcross,Norcross,GA,7
Norfolk,Norfolk,NE,2
Norfolk,Norfolk,VA,11
Normal,Normal,IL,2
Norman,Norman,OK,9
Norman Park,Norman Park,GA,1
Norris,Norris,SC,1
North Andover,North Andover,MA,1
North Arlingtong,North Arlingtong,NJ,1
North Augusta,North Augusta,SC,2
North Canton,North Canton,OH,1
North Charleston,North Charleston,SC,1
North Chesterfield,Richmond,VA,1
North Haledon,North Haledon,NJ,1
North Highlands,North Highlands,CA,1
North Hollywood,North Hollywood,CA,1
North Jackson,North Jackson,OH,1
North Las Vegas,North Las Vegas,NV,2
North Liberty,North Liberty,IA,1
North Little Rock,North Little Rock,AR,1
North Ogden,North Ogden,UT,2
North Richland,North Richland Hills,TX,1
North Richland Hills,North Richland Hills,TX,2
North Salem,North Salem,IN,1
North Salt Lake,North Salt Lake,UT,1
North Sioux City,North Sioux City,SD,1
North Tulsa,North Tulsa,OK,1
Northborough,Northborough,MA,1
Northbrook,Northbrook,IL,2
Northport,Northport,AL,1
Northville,Northville,MI,4
Norwalk,Norwalk,CT,2
Norwalk,Norwalk,IA,2
Norwalk,Norwalk,OH,2
Norwell,Norwell,MA,2
Novato,Novato,CA,2
O'Fallon,O'Fallon,MO,2
Oacoma,Oacoma,SD,1
Oak Creek,Oak Creek,WI,2
Oak Grove,Oak Grove,LA,2
Oak Hill,Oak Hill,VA,1
Oak Hills,Oak Hills,CA,1
Oak Lawn,Oak Lawn,IL,2
Oak Park,Oak Park,CA,1
Oak Park,Oak Park,IL,1
Oak Park,Oak Park,MI,1
Oakboro,Oakboro,NC,1
Oakland,Oakland,CA,9
Oakland,Oakland,NE,1
Oakley,Oakley,CA,1
Oakridge,Oak Ridge,FL,1
Ocala,Ocala,FL,3
Ocean Springs,Ocean Springs,MS,3
Ocean Township,Ocean Township,NJ,1
Oceanside,Oceanside,CA,3
Ocilla,Ocilla,GA,2
Ocoee,Ocoee,FL,5
Oconomowoc,Oconomowoc,WI,2
Odebolt,Odebolt,IA,1
Odessa,Odessa,FL,1
Odessa,Odessa,TX,3
Ogden,Ogden,UT,1
Ohatchee,Ohatchee,AL,1
Ojai,Ojai,CA,1
Oklahoma City,Oklahoma City,OK,17
Olathe,Olathe,KS,8
Olive Branch,Olive Branch,MS,2
Olivette,Olivette,MO,1
Olmsted Falls,Olmsted Falls,OH,1
Olney,Olney,MD,3
Olympia,Olympia,WA,2
Omaha,Omaha,NE,33
Ona,Ona,WV,1
Ontario,Ontario,CA,6
Ooltewah,Ooltewah,TN,1
Opa-locka,Opa-locka,FL,1
Opelika,Opelika,AL,5
Opelousas,Opelousas,LA,1
Orange,Orange,CA,4
Orange,Orange City,FL,1
Orange,Orange,TX,6
Orange Beach,Orange Beach,AL,1
Orange City,Orange City,FL,1
Orange County,Mission Viejo,CA,1
Orange Park,Orange Park,FL,3
Orefield,Orefield,PA,1
Oregon City,Oregon City,OR,1
Orem,Orem,UT,5
Orinda,Orinda,CA,2
Orion,Orion,IL,1
Orland Park,Orland Park,IL,1
Orlando,Orlando,FL,37
Ormond Beach,Ormond Beach,FL,1
Oro Valley,Oro Valley,AZ,1
Oshkosh,Oshkosh,WI,1
Osseo,Osseo,MN,1
Oswego,Oswego,IL,2
Oswego,Oswego,KS,1
Overland Park,Overland Park,KS,10
Oviedo,Oviedo,FL,3
Owasso,Owasso,OK,3
Owensboro,Owensboro,KY,2
Owings,Owings,MD,2
Oxford,Oxford,AL,2
Oxford,Oxford,GA,1
Oxford,Oxford,MI,1
Oxford,Oxford,MS,4
Oxnard,Oxnard,CA,5
Oxon Hill,Oxon Hill,MD,1
Ozark,Ozark,AR,1
Pace,Pace,FL,2
Pacific Palisades,Pacific Palisades,CA,1
Pacoima,Pacoima,CA,1
Pahokee,Pahokee,FL,5
Paige,Paige,TX,1
Palatine,Palatine,IL,2
Palestine,Palestine,TX,1
Palm Bay,Palm Bay,FL,2
Palm Beach Gardens,Palm Beach Gardens,FL,3
Palm Coast,Palm Coast,FL,1
Palm Desert,Palm Desert,CA,1
Palm Harbor,Palm Harbor,FL,2
Palmdale,Palmdale,CA,5
Palmetto,Palmetto,FL,2
Palmyra,Palmyra,PA,1
Palmyra,Palmyra,VA,1
Palo Alto,Palo Alto,CA,1
Palos Verdes,Palos Verdes,CA,1
Palos Verdes Estates,Palos Verdes Estates,CA,2
Panama City,Panama City,FL,1
Papillion,Papillion,NE,1
Paris,Paris,TN,2
Paris,Paris,TX,2
Park City,Park City,UT,2
Park Ridge,Park Ridge,IL,1
Parker,Parker,CO,1
Parkersburg,Parkersburg,WV,1
Parkin,Parkin,AR,1
Parkland,Parkland,FL,1
Parkton,Parkton,NC,1
Parkville,Parkville,MO,3
Parsippany,Parsippany,NJ,2
Pasadena,Pasadena,CA,12
Pasadena,Pasadena,MD,2
Pasco,Pasco,WA,2
Paterson,Paterson,NJ,4
Paulsboro,Paulsboro,NJ,1
Paw Paw,Paw Paw,MI,1
Pawhuska,Pawhuska,OK,2
