hometown_city_clean,hometown_state_clean,hometown_combined,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Kinder,LA,"Kinder, LA",1,2239755,1866,384,38542,20.6,0.5
Sardis,MS,"Sardis, MS",1,2865560,2150,1106,33708,51.4,0.5
Sumrall,MS,"Sumrall, MS",1,2871560,2043,341,72143,16.7,0.5
Pierce,NE,"Pierce, NE",1,3139100,1932,2,54301,0.1,0.5
Carthage,TX,"Carthage, TX",3,4813108,6510,813,44951,12.5,0.5
East Bernard,TX,"East Bernard, TX",1,4821988,2062,0,70323,0,0.5
Justin,TX,"Justin, TX",2,4838332,4441,594,97869,13.4,0.5
Kemah,TX,"Kemah, TX",1,4838776,1878,143,94286,7.6,0.5
Mason,TX,"Mason, TX",1,4846968,2138,1,63512,0,0.5
Rio Hondo,TX,"Rio Hondo, TX",1,4862180,2132,0,36579,0,0.5
Shiner,TX,"Shiner, TX",1,4867640,2018,63,75167,3.1,0.5
Tomball,TX,"Tomball, TX",6,4873316,12333,1423,65981,11.5,0.5
West Columbia,TX,"West Columbia, TX",2,4877416,3674,873,75239,23.8,0.5
Milford,UT,"Milford, UT",1,4950040,1928,0,72500,0,0.5
Centreville,AL,"Centreville, AL",1,0113672,2789,714,35074,25.6,0.4
Hartford,AL,"Hartford, AL",1,0133424,2630,822,42043,31.3,0.4
Jackson,AL,"Jackson, AL",2,0138152,4774,2037,49460,42.7,0.4
Lanett,AL,"Lanett, AL",3,0141296,6821,4642,46404,68.1,0.4
Roanoke,AL,"Roanoke, AL",2,0165040,5368,2448,38731,45.6,0.4
Carrabelle,FL,"Carrabelle, FL",1,1210725,2815,888,37105,31.5,0.4
Cocoa,FL,"Cocoa, FL",7,1213150,18891,5557,48085,29.4,0.4
Dunnellon,FL,"Dunnellon, FL",1,1218675,2262,207,34348,9.2,0.4
Graceville,FL,"Graceville, FL",1,1227000,2344,510,33400,21.8,0.4
Lake Placid,FL,"Lake Placid, FL",1,1238625,2433,47,41610,1.9,0.4
Acworth,GA,"Acworth, GA",10,1300408,22330,5333,72788,23.9,0.4
Camilla,GA,"Camilla, GA",2,1312624,5135,3592,28571,70,0.4
Chatsworth,GA,"Chatsworth, GA",2,1315508,4764,133,55199,2.8,0.4
Cordele,GA,"Cordele, GA",4,1319616,10316,7156,27922,69.4,0.4
Demorest,GA,"Demorest, GA",1,1322304,2479,169,44412,6.8,0.4
Donalsonville,GA,"Donalsonville, GA",1,1323368,2808,2022,33506,72,0.4
Douglasville,GA,"Douglasville, GA",13,1323900,34410,21589,61729,62.7,0.4
Lawrenceville,GA,"Lawrenceville, GA",11,1345488,30299,10728,51242,35.4,0.4
Louisville,GA,"Louisville, GA",1,1347560,2545,1799,31923,70.7,0.4
McDonough,GA,"McDonough, GA",12,1348624,28574,19780,73215,69.2,0.4
Mount Vernon,GA,"Mount Vernon, GA",1,1353508,2259,1122,29265,49.7,0.4
Norcross,GA,"Norcross, GA",7,1355776,17413,4436,70403,25.5,0.4
Powder Springs,GA,"Powder Springs, GA",6,1362524,16698,8961,78912,53.7,0.4
Snellville,GA,"Snellville, GA",8,1371604,20475,8175,83691,39.9,0.4
Belle Rose,LA,"Belle Rose, LA",1,2206260,2413,1596,51424,66.1,0.4
Haynesville,LA,"Haynesville, LA",1,2233525,2402,1634,24766,68,0.4
Mandeville,LA,"Mandeville, LA",5,2248225,12985,102,79149,0.8,0.4
Many,LA,"Many, LA",1,2248470,2337,1056,18148,45.2,0.4
West Monroe,LA,"West Monroe, LA",5,2280955,13103,5295,38865,40.4,0.4
White Castle,LA,"White Castle, LA",1,2281375,2258,2028,20288,89.8,0.4
Charleston,MS,"Charleston, MS",1,2812900,2618,1915,31239,73.1,0.4
Collins,MS,"Collins, MS",1,2815140,2430,1373,28906,56.5,0.4
Crystal Springs,MS,"Crystal Springs, MS",2,2817060,4851,3299,41964,68,0.4
