hometown_city,hometown_state_clean,total
Irmo,SC,5
Ironton,OH,4
Irvine,CA,4
Irving,TX,1
Irvington,NJ,3
Isle of Palms,SC,1
Islip,NY,1
Itta Bena,MS,1
Jackonsville,NC,1
Jackson,AL,2
Jackson,GA,1
Jackson,MO,2
Jackson,MS,9
Jackson,NJ,1
Jackson,OH,1
Jackson,TN,2
Jacksonville,FL,50
Jacksonville,NC,2
Jamaica,NY,1
Jamesburg,NJ,1
Jamestown,IN,1
Jamesville,NY,1
Jeannette,PA,1
Jefferson,GA,4
Jefferson,OH,1
Jefferson,TX,1
Jefferson City,MO,1
Jefferson Hills,PA,1
Jefferson Township,NJ,1
Jenks,OK,5
Jennings,LA,2
Jersey City,NJ,8
Jesup,GA,2
John's Creek,GA,1
Johns Creek,GA,3
Johnson,NE,1
Johnson County,KY,1
Johnston,SC,1
Johnston City,IL,1
Joliet,IL,1
Jonesboro,AR,4
Jonesboro,GA,1
Jonesborough,TN,2
Judson,TX,1
Junction City,KS,1
Justin,TX,2
Kahuku,HI,4
Kailua,HI,1
Kalamazoo,MI,1
Kamas,UT,1
Kaneohe,HI,1
Kankakee,IL,2
Kannapolis,NC,1
Kansas City,KS,9
Kansas City,MO,21
Kapa'a,HI,2
Kaplan,LA,1
Kapolei,HI,4
Katy,TX,34
Kaukauna,WI,1
Kaysville,UT,2
Kealakekua,HI,1
Kearney,MO,1
Kearney,NE,1
Kearny,NJ,1
Keller,TX,4
Kellogg,ID,2
Kemah,TX,1
Kenmore,WA,1
Kennedale,TX,2
Kenner,LA,3
Kennesaw,GA,16
Kennewick,WA,2
Kenova,WV,2
Kent,WA,1
Kentfield,CA,1
Kentwood,MI,1
Kernersville,NC,2
Kerrville,TX,1
Keswick,VA,1
Kewaunee,WI,1
Key Biscayne,FL,1
Key West,FL,2
Keyser,WV,1
Killeen,TX,7
Killen,AL,1
Kinder,LA,1
King of Prussia,PA,1
Kingland,GA,1
Kings Mills,OH,2
Kings Mountain,NC,1
Kingsland,GA,3
Kingsport,TN,1
Kingston Springs,TN,1
Kingwood,TX,1
Kinnelon,NJ,1
Kirkland,WA,1
Kirkwood,MO,1
Kissimmee,FL,10
Klein,TX,2
Knightdale,NC,3
Knott County,KY,1
Knoxville,IA,3
Knoxville,TN,15
Kokomo,IN,1
Kosciusko,MS,1
Kyle,TX,1
La Feria,TX,1
La Grange,GA,1
La Grange,IL,1
La Grange,TX,1
La Grange Park,IL,1
La Jolla,CA,2
La Marque,TX,1
La Porte,TX,2
La Puente,CA,1
La Vergne,TN,2
La Vista,NE,1
LaGrange,GA,5
LaGrange,KY,1
LaPlace,LA,2
Lacey,WA,2
Ladera Ranch,CA,2
Lafayette,CA,3
Lafayette,IN,1
Lafayette,LA,11
Laguna Hills,CA,3
Laie,HI,6
