School,Name,Position,Class,Hometown,High School
2023 Football Roster - University of Illinois Athletics,Alec Bryant,OLB,So.,"Pearland, Texas",Shadow Creek
2023 Football Roster - University of Illinois Athletics,Henry Engel,DL,Fr.,"Lena, Ill.",Lena-Winslow
2023 Football Roster - University of Illinois Athletics,Joep Engbers,DL,Fr.,"Oak Park, Ill.",Fenwick
2023 Football Roster - University of Illinois Athletics,Dylan Davis,DL,So.,"Sarasota, Fla.",St. Stephen's Episcopal
2023 Football Roster - University of Illinois Athletics,Fabrizio Pinton,K/P,So.,"Houston, Texas",The Woodlands
2023 Football Roster - University of Illinois Athletics,Christian Lorenzo,DL,R-Fr.,"Baton Rouge, La.",DeKalb (Ill.)
Indiana,Bradley Archer,TE,R-Sr.,Livemore Calif.,Livemore
Indiana,Austin Barrett,OL,Fr.,"St. Charles, Ill.",St. Charles East
Indiana,Matthew Bedford,OL,R-Sr.,"Memphis, Tenn.",Cordova
Indiana,Reece Bellin,WR,Fr.,"Carmel, Ind.",Carmel
Indiana,Kahlil Benson,OL,R-Jr.,"Southaven, Miss.",Southaven
Indiana,Carl Biddings IV,DL,R-Fr.,"East Chicago, Ind.",Center Grove
Indiana,Philip Blidi,DL,Sr.,"Trenton, N.J.",Portales (N.M.)
Indiana,Derrick Bohler,WR,Fr.,"Miami, Fla.",Miami Palmetto
Indiana,Noah Bolticoff,OL,R-So.,"Rose Hill, Kan.",Rose Hill
Indiana,James Bomba,TE,R-So.,"Bloomington, Ind.",Bloomington South
Indiana,Bryson Bonds,DB,R-Jr.,"Fort Worth, Texas",Crowley
Indiana,Jaz Boykin,DB,Fr.,"Fishers, Ind.",Fishers
Indiana,Marcus Burris Jr.,DL,R-So.,"Texarkana, Texas",Pleasant Grove
Indiana,Cam Camper,WR,Sr.,"Lancaster, Texas",Lancaster
Indiana,Aden Cannon,DL,R-Fr.,"Carmel, Ind.",Guerin Catholic
Indiana,Zach Carpenter,OL,R-Sr.,"Cincinnati, Ohio",Archbishop Moeller
